,Model vs. VIO Pose,VIO vs. Ground Truth Pose,Model vs. Ground Truth Pose
195,tensor(2.8630),tensor(1.6052),tensor(1.2927)
196,tensor(2.3992),tensor(1.6042),tensor(1.0876)
197,tensor(2.4025),tensor(1.6007),tensor(1.0892)
198,tensor(2.1307),tensor(1.5927),tensor(0.9843)
199,tensor(2.1504),tensor(1.5832),tensor(0.9855)
200,tensor(1.9506),tensor(1.5752),tensor(0.9150)
201,tensor(1.8571),tensor(1.5666),tensor(0.9032)
202,tensor(1.7201),tensor(1.5587),tensor(0.8762)
203,tensor(2.0364),tensor(1.5508),tensor(0.9127)
204,tensor(1.7066),tensor(1.5444),tensor(0.8660)
205,tensor(3.4923),tensor(1.4612),tensor(1.3862)
206,tensor(4.2587),tensor(1.4501),tensor(1.7384)
207,tensor(4.6876),tensor(1.4429),tensor(1.9846)
208,tensor(3.3975),tensor(1.4414),tensor(1.3104)
209,tensor(2.3803),tensor(1.4442),tensor(0.9356)
210,tensor(3.4722),tensor(1.4517),tensor(1.3003)
211,tensor(2.4612),tensor(1.5422),tensor(0.9610)
212,tensor(2.3557),tensor(1.5482),tensor(0.9184)
213,tensor(1.2195),tensor(1.5551),tensor(0.9599)
214,tensor(1.4297),tensor(1.5617),tensor(0.9035)
215,tensor(1.3089),tensor(1.5693),tensor(0.9669)
216,tensor(1.2537),tensor(1.5776),tensor(1.0248)
217,tensor(0.9076),tensor(1.5857),tensor(1.3307)
218,tensor(1.1127),tensor(1.5946),tensor(1.1811)
219,tensor(1.0285),tensor(1.6063),tensor(1.3503)
220,tensor(1.1028),tensor(1.6123),tensor(1.2998)
221,tensor(1.0465),tensor(1.6100),tensor(1.4285)
222,tensor(0.8186),tensor(1.6069),tensor(1.6549)
223,tensor(0.7909),tensor(1.5996),tensor(1.8088)
224,tensor(0.9860),tensor(1.5888),tensor(1.6171)
225,tensor(0.8482),tensor(1.5788),tensor(1.8039)
226,tensor(0.8253),tensor(1.5645),tensor(1.7939)
227,tensor(0.9366),tensor(1.5440),tensor(1.3891)
228,tensor(1.2378),tensor(1.5160),tensor(0.9914)
229,tensor(0.8562),tensor(1.4851),tensor(1.3346)
230,tensor(1.6406),tensor(1.4511),tensor(0.6931)
231,tensor(1.2394),tensor(1.4183),tensor(0.7107)
232,tensor(1.8066),tensor(1.3811),tensor(0.5594)
233,tensor(1.7645),tensor(1.3432),tensor(0.4894)
234,tensor(1.7786),tensor(1.3078),tensor(0.4564)
235,tensor(1.5234),tensor(1.2760),tensor(0.3855)
236,tensor(1.6114),tensor(1.2502),tensor(0.3396)
237,tensor(1.4010),tensor(1.2272),tensor(0.2829)
238,tensor(1.0957),tensor(1.2051),tensor(0.2641)
239,tensor(1.2364),tensor(1.1849),tensor(0.1966)
240,tensor(0.8035),tensor(1.1661),tensor(0.2711)
241,tensor(0.6456),tensor(1.1473),tensor(0.3422)
242,tensor(0.7245),tensor(1.1319),tensor(0.2280)
243,tensor(0.6912),tensor(1.1177),tensor(0.1979)
244,tensor(0.4436),tensor(1.1090),tensor(0.4442)
245,tensor(0.3642),tensor(1.1090),tensor(0.6593)
246,tensor(0.3701),tensor(1.1089),tensor(0.9657)
247,tensor(0.5644),tensor(1.0894),tensor(0.4761)
248,tensor(0.5670),tensor(1.0731),tensor(0.4712)
249,tensor(0.7325),tensor(1.0562),tensor(2.0380)
250,tensor(0.3275),tensor(1.0344),tensor(0.6473)
251,tensor(0.3439),tensor(1.1004),tensor(0.6365)
252,tensor(0.3733),tensor(1.0853),tensor(0.3614)
253,tensor(0.4835),tensor(1.0626),tensor(0.2014)
254,tensor(0.3755),tensor(1.0396),tensor(0.3516)
255,tensor(0.4265),tensor(1.0133),tensor(0.2083)
256,tensor(0.5250),tensor(0.9884),tensor(0.1634)
257,tensor(0.5050),tensor(0.9692),tensor(0.1563)
258,tensor(0.4103),tensor(0.9539),tensor(0.2047)
259,tensor(0.5297),tensor(0.9414),tensor(0.1370)
260,tensor(0.5697),tensor(0.9272),tensor(0.1357)
261,tensor(0.5811),tensor(0.9058),tensor(0.1382)
262,tensor(0.6161),tensor(0.8830),tensor(0.1403)
263,tensor(0.6388),tensor(0.8650),tensor(0.1361)
264,tensor(0.5432),tensor(0.8509),tensor(0.1751)
265,tensor(0.7603),tensor(0.8373),tensor(0.1540)
266,tensor(0.9009),tensor(0.8231),tensor(0.1716)
267,tensor(0.8956),tensor(0.8072),tensor(0.1757)
268,tensor(0.9859),tensor(0.7953),tensor(0.1708)
269,tensor(0.9094),tensor(0.7897),tensor(0.1457)
270,tensor(1.0560),tensor(0.7876),tensor(0.1947)
271,tensor(0.7301),tensor(0.7884),tensor(0.1234)
272,tensor(0.3065),tensor(0.7962),tensor(0.2945)
273,tensor(0.3110),tensor(0.7464),tensor(0.3129)
274,tensor(0.4113),tensor(0.7642),tensor(1.0333)
275,tensor(0.2815),tensor(0.7811),tensor(0.3419)
276,tensor(0.2821),tensor(0.7981),tensor(0.7788)
277,tensor(0.4407),tensor(0.8494),tensor(0.9952)
278,tensor(0.2530),tensor(0.8642),tensor(0.6487)
279,tensor(0.2485),tensor(0.8767),tensor(0.6502)
280,tensor(0.3275),tensor(0.8898),tensor(0.8234)
281,tensor(0.3547),tensor(0.9044),tensor(0.9488)
282,tensor(0.2369),tensor(0.9181),tensor(0.6845)
283,tensor(0.2483),tensor(0.9305),tensor(0.3393)
284,tensor(0.2364),tensor(0.9435),tensor(0.7721)
285,tensor(0.4099),tensor(0.9576),tensor(1.2836)
286,tensor(0.2730),tensor(0.9732),tensor(0.8957)
287,tensor(0.4706),tensor(0.9872),tensor(1.5105)
288,tensor(0.6411),tensor(0.9984),tensor(1.8934)
289,tensor(0.4472),tensor(1.0051),tensor(1.5348)
290,tensor(0.3488),tensor(1.0102),tensor(1.1445)
291,tensor(0.4074),tensor(1.0143),tensor(0.2546)
292,tensor(0.7721),tensor(1.0206),tensor(0.1417)
293,tensor(0.7351),tensor(1.0323),tensor(0.1465)
294,tensor(0.5324),tensor(1.0975),tensor(0.1973)
295,tensor(0.6680),tensor(1.0770),tensor(0.1896)
296,tensor(0.5483),tensor(1.1066),tensor(0.2684)
297,tensor(0.6461),tensor(1.1296),tensor(0.2472)
298,tensor(0.7639),tensor(1.1408),tensor(0.2135)
299,tensor(0.6509),tensor(1.1450),tensor(0.2571)
300,tensor(0.7164),tensor(1.1339),tensor(0.2104)
301,tensor(0.6298),tensor(1.1061),tensor(0.2254)
302,tensor(0.5573),tensor(1.0674),tensor(1.7232)
303,tensor(0.5743),tensor(1.0260),tensor(0.1815)
304,tensor(0.3365),tensor(0.9909),tensor(1.1177)
305,tensor(0.3173),tensor(0.9632),tensor(1.0904)
306,tensor(0.2247),tensor(0.9416),tensor(0.6062)
307,tensor(0.2187),tensor(0.9234),tensor(0.7577)
308,tensor(0.2178),tensor(0.9084),tensor(0.5161)
309,tensor(0.2005),tensor(0.8956),tensor(0.5387)
310,tensor(0.2021),tensor(0.8854),tensor(0.6157)
311,tensor(0.1856),tensor(0.8788),tensor(0.5309)
312,tensor(0.2027),tensor(0.8748),tensor(0.6332)
313,tensor(0.1868),tensor(0.8750),tensor(0.4356)
314,tensor(0.2060),tensor(0.8787),tensor(0.7916)
315,tensor(0.2337),tensor(0.8843),tensor(0.8862)
316,tensor(0.2234),tensor(0.8909),tensor(0.9203)
317,tensor(0.2298),tensor(0.8977),tensor(0.9524)
318,tensor(0.5340),tensor(0.9055),tensor(1.6187)
319,tensor(0.6243),tensor(0.9156),tensor(1.7771)
320,tensor(0.6547),tensor(0.9275),tensor(1.8712)
321,tensor(0.5105),tensor(0.9393),tensor(1.7036)
322,tensor(0.3048),tensor(0.9515),tensor(1.2353)
323,tensor(0.2139),tensor(0.9649),tensor(1.0312)
324,tensor(0.2759),tensor(1.0041),tensor(1.0289)
325,tensor(0.2063),tensor(1.0034),tensor(0.9930)
326,tensor(0.2615),tensor(1.0303),tensor(1.0568)
327,tensor(0.3251),tensor(1.0598),tensor(1.2549)
328,tensor(0.2405),tensor(1.0918),tensor(0.9251)
329,tensor(0.3192),tensor(1.1238),tensor(1.2037)
330,tensor(0.3155),tensor(1.1559),tensor(0.8345)
331,tensor(0.3414),tensor(1.1889),tensor(1.2016)
332,tensor(0.3782),tensor(1.2227),tensor(1.2479)
333,tensor(0.4777),tensor(1.2582),tensor(1.6366)
334,tensor(0.6660),tensor(1.2959),tensor(2.3412)
335,tensor(0.8059),tensor(1.3346),tensor(2.5308)
336,tensor(0.7202),tensor(1.3730),tensor(2.3701)
337,tensor(0.8721),tensor(1.4086),tensor(2.7099)
338,tensor(0.9446),tensor(1.4411),tensor(2.8035)
339,tensor(0.8194),tensor(1.4701),tensor(2.6136)
340,tensor(1.0026),tensor(1.4957),tensor(2.8919)
341,tensor(1.0184),tensor(1.5163),tensor(2.9582)
342,tensor(0.9341),tensor(1.5321),tensor(2.7161)
343,tensor(0.9562),tensor(1.5434),tensor(2.8985)
344,tensor(0.9623),tensor(1.5496),tensor(2.8002)
345,tensor(0.9701),tensor(1.5513),tensor(2.7462)
346,tensor(1.0921),tensor(1.5493),tensor(2.9836)
347,tensor(0.9509),tensor(1.5445),tensor(2.7342)
348,tensor(0.9057),tensor(1.5385),tensor(2.6070)
349,tensor(0.7468),tensor(1.5312),tensor(2.1363)
350,tensor(0.7722),tensor(1.5227),tensor(1.8344)
351,tensor(0.7733),tensor(1.5128),tensor(2.1460)
352,tensor(0.7136),tensor(1.5011),tensor(1.6072)
353,tensor(0.7019),tensor(1.4885),tensor(1.5915)
354,tensor(0.7328),tensor(1.4742),tensor(1.1407)
355,tensor(0.6114),tensor(1.4140),tensor(1.7358)
356,tensor(0.8304),tensor(1.3960),tensor(0.9182)
357,tensor(0.7292),tensor(1.3788),tensor(0.9861)
358,tensor(0.6813),tensor(1.3623),tensor(0.9931)
359,tensor(0.7599),tensor(1.3468),tensor(0.8569)
360,tensor(0.7190),tensor(1.3308),tensor(0.8524)
361,tensor(1.3523),tensor(1.3128),tensor(0.5263)
362,tensor(1.9921),tensor(1.2938),tensor(0.6103)
363,tensor(0.9203),tensor(1.2749),tensor(0.5855)
364,tensor(0.5841),tensor(1.2558),tensor(0.7720)
365,tensor(0.9775),tensor(1.2408),tensor(0.5284)
366,tensor(0.6622),tensor(1.3157),tensor(0.6102)
367,tensor(0.6082),tensor(1.3034),tensor(0.6074)
368,tensor(0.3985),tensor(1.2911),tensor(0.6582)
369,tensor(0.3915),tensor(1.2803),tensor(0.5935)
370,tensor(0.4393),tensor(1.2686),tensor(0.5197)
371,tensor(0.4319),tensor(1.2554),tensor(0.5413)
372,tensor(0.4357),tensor(1.2405),tensor(0.4608)
373,tensor(0.4524),tensor(1.2252),tensor(0.4068)
374,tensor(0.4299),tensor(1.2111),tensor(0.3928)
375,tensor(0.5010),tensor(1.1972),tensor(0.3301)
376,tensor(0.4477),tensor(1.1768),tensor(0.3187)
377,tensor(0.4381),tensor(1.1542),tensor(0.3825)
378,tensor(0.4529),tensor(1.1383),tensor(0.2572)
379,tensor(0.4215),tensor(1.1180),tensor(0.2496)
380,tensor(0.4461),tensor(1.0950),tensor(0.2259)
381,tensor(0.5674),tensor(1.0687),tensor(0.2004)
382,tensor(0.6635),tensor(1.0362),tensor(0.2283)
383,tensor(0.4462),tensor(1.0027),tensor(0.1645)
384,tensor(0.4622),tensor(0.9698),tensor(0.1885)
385,tensor(0.4515),tensor(0.9380),tensor(0.1660)
386,tensor(0.4671),tensor(0.9062),tensor(0.1604)
387,tensor(0.4794),tensor(0.8748),tensor(0.1686)
388,tensor(0.4907),tensor(0.8443),tensor(0.2212)
389,tensor(0.4993),tensor(0.8222),tensor(0.2209)
390,tensor(0.5145),tensor(0.8051),tensor(0.2386)
391,tensor(0.5349),tensor(0.7952),tensor(0.2825)
392,tensor(0.5854),tensor(0.7854),tensor(0.3396)
393,tensor(0.4956),tensor(0.7749),tensor(0.2542)
394,tensor(0.4383),tensor(0.7614),tensor(0.3123)
395,tensor(0.4546),tensor(0.7476),tensor(0.3117)
396,tensor(0.4208),tensor(0.7354),tensor(0.3664)
397,tensor(0.4589),tensor(0.7241),tensor(0.4375)
398,tensor(0.4552),tensor(0.7698),tensor(0.7359)
399,tensor(0.4635),tensor(0.7789),tensor(0.1808)
400,tensor(0.3742),tensor(0.7865),tensor(0.3337)
401,tensor(0.3890),tensor(0.7934),tensor(0.2392)
402,tensor(0.4453),tensor(0.7976),tensor(0.1801)
403,tensor(0.6330),tensor(0.7985),tensor(0.1759)
404,tensor(0.3187),tensor(0.8024),tensor(0.2834)
405,tensor(0.3546),tensor(0.8059),tensor(0.2174)
406,tensor(0.2539),tensor(0.8128),tensor(0.5030)
407,tensor(0.2597),tensor(0.8229),tensor(0.3938)
408,tensor(0.3907),tensor(0.8376),tensor(1.1903)
409,tensor(0.3164),tensor(0.8553),tensor(1.1284)
410,tensor(0.3318),tensor(0.8718),tensor(1.1889)
411,tensor(0.3462),tensor(0.8868),tensor(1.2662)
412,tensor(0.2666),tensor(0.9004),tensor(1.0204)
413,tensor(0.2340),tensor(0.8149),tensor(0.8551)
414,tensor(0.2635),tensor(0.8297),tensor(0.2975)
415,tensor(0.3474),tensor(0.8442),tensor(0.2330)
416,tensor(0.1912),tensor(0.8596),tensor(0.4491)
417,tensor(0.1916),tensor(0.8739),tensor(0.7262)
418,tensor(0.3145),tensor(0.8881),tensor(1.0414)
419,tensor(0.2956),tensor(0.9008),tensor(0.9960)
420,tensor(0.2712),tensor(0.9130),tensor(0.8425)
421,tensor(0.2633),tensor(0.9213),tensor(0.7961)
422,tensor(0.3467),tensor(0.9295),tensor(0.8037)
423,tensor(0.2869),tensor(0.9365),tensor(0.6836)
424,tensor(0.3243),tensor(0.9431),tensor(0.6705)
425,tensor(0.2699),tensor(0.9507),tensor(0.4692)
426,tensor(0.3173),tensor(0.9574),tensor(0.5169)
427,tensor(0.3242),tensor(0.9643),tensor(0.2365)
428,tensor(0.3595),tensor(0.9691),tensor(0.4297)
429,tensor(0.3966),tensor(0.9734),tensor(0.3883)
430,tensor(0.4428),tensor(0.9759),tensor(0.4000)
431,tensor(0.3802),tensor(0.9290),tensor(0.2965)
432,tensor(0.3983),tensor(0.9243),tensor(0.1696)
433,tensor(0.4187),tensor(0.9166),tensor(0.2064)
434,tensor(0.4934),tensor(0.9563),tensor(0.1574)
435,tensor(0.5520),tensor(0.9472),tensor(0.1384)
436,tensor(0.5739),tensor(0.9341),tensor(0.0892)
437,tensor(0.5820),tensor(0.9175),tensor(0.0921)
438,tensor(0.6604),tensor(0.9028),tensor(0.0768)
439,tensor(0.6910),tensor(0.8856),tensor(0.1000)
440,tensor(0.6991),tensor(0.8687),tensor(0.0945)
441,tensor(0.7003),tensor(0.8523),tensor(0.0864)
442,tensor(0.7834),tensor(0.8355),tensor(0.1312)
443,tensor(0.7712),tensor(0.8197),tensor(0.1550)
444,tensor(0.8338),tensor(0.8006),tensor(0.1255)
445,tensor(0.8192),tensor(0.7811),tensor(0.1439)
446,tensor(0.8699),tensor(0.7606),tensor(0.2126)
447,tensor(0.8857),tensor(0.7412),tensor(0.2161)
448,tensor(0.8402),tensor(0.7240),tensor(0.2035)
449,tensor(0.9502),tensor(0.7090),tensor(0.2728)
450,tensor(0.8754),tensor(0.6920),tensor(0.2710)
451,tensor(0.9313),tensor(0.6759),tensor(0.3190)
452,tensor(0.9030),tensor(0.6606),tensor(0.3591)
453,tensor(1.0047),tensor(0.6459),tensor(0.4743)
454,tensor(0.8767),tensor(0.6326),tensor(0.4067)
455,tensor(0.8050),tensor(0.6222),tensor(0.3976)
456,tensor(0.7873),tensor(0.6123),tensor(0.4219)
457,tensor(0.7656),tensor(0.6043),tensor(0.4102)
458,tensor(0.7211),tensor(0.6674),tensor(0.3581)
459,tensor(0.7740),tensor(0.6732),tensor(0.2700)
460,tensor(0.6563),tensor(0.6807),tensor(0.3221)
461,tensor(0.7677),tensor(0.6868),tensor(0.8927)
